"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128198","b0211","NP_414747.1","predicted membrane-bound lytic murein transglycosylase D","57945","Pseudomonas aeruginosa PAO1","15597009","PA1812","NP_250503.1","membrane-bound lytic murein transglycosylase D precursor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129598","b1640","NP_416157.1","anhydro-N-acetylmuramic acid kinase","57945","Pseudomonas aeruginosa PAO1","15595863","PA0666","NP_249357.1","anhydro-N-acetylmuramic acid kinase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128874","b0907","NP_415427.1","3-phosphoserine/phosphohydroxythreonine aminotransferase","57945","Pseudomonas aeruginosa PAO1","15598363","PA3167","NP_251857.1","phosphoserine aminotransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129441","b1482","NP_415999.1","Lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; salt-shock inducible membrane protein; peroxiredoxin","57945","Pseudomonas aeruginosa PAO1","15595257","PA0059","NP_248749.1","osmotically inducible protein OsmC","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130251","b2316","NP_416819.1","acetyl-CoA carboxylase, beta (carboxyltransferase) subunit","57945","Pseudomonas aeruginosa PAO1","15598308","PA3112","NP_251802.1","acetyl-CoA carboxylase subunit beta","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130348","b2422","NP_416917.1","sulfate/thiosulfate transporter subunit","57945","Pseudomonas aeruginosa PAO1","15595477","PA0280","NP_248971.1","sulfate transporter CysA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129589","b1631","NP_416148.1","electron transport complex protein required for the reduction of SoxR","57945","Pseudomonas aeruginosa PAO1","15598689","PA3493","NP_252183.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111187","b0913","NP_415433.4","inner membrane protein, ComEC family of competence proteins","57945","Pseudomonas aeruginosa PAO1","15598180","PA2984","NP_251674.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130525","b2604","NP_417095.1","probable inner membrane diguanylate cyclase","57945","Pseudomonas aeruginosa PAO1","15596317","PA1120","NP_249811.1","diguanylate cyclase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130914","b3018","NP_417490.1","1-acyl-sn-glycerol-3-phosphate acyltransferase","57945","Pseudomonas aeruginosa PAO1","15595203","PA0005","NP_064725.1","lysophosphatidic acid acyltransferase, LptA","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128568","b0585","NP_415117.1","enterobactin/ferric enterobactin esterase","57945","Pseudomonas aeruginosa PAO1","15597647","PA2451","NP_251141.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130403","b2478","NP_416973.1","dihydrodipicolinate synthase","57945","Pseudomonas aeruginosa PAO1","15596207","PA1010","NP_249701.1","dihydrodipicolinate synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128080","b0087","NP_414629.1","phospho-N-acetylmuramoyl-pentapeptide transferase","57945","Pseudomonas aeruginosa PAO1","15599611","PA4415","NP_253105.1","phospho-N-acetylmuramoyl-pentapeptide- transferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128453","b0469","NP_415002.1","adenine phosphoribosyltransferase","57945","Pseudomonas aeruginosa PAO1","15596740","PA1543","NP_250234.1","adenine phosphoribosyltransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111243","b1296","NP_415812.4","putrescine importer","57945","Pseudomonas aeruginosa PAO1","15597237","PA2041","NP_250731.1","amino acid permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128046","b0052","NP_414594.1","4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent","57945","Pseudomonas aeruginosa PAO1","15595790","PA0593","NP_249284.1","4-hydroxythreonine-4-phosphate dehydrogenase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131058","b3166","NP_417635.1","tRNA U55 pseudouridine synthase","57945","Pseudomonas aeruginosa PAO1","15599936","PA4742","NP_253430.1","tRNA pseudouridine synthase B","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","226524733","b2247","NP_416750.2","L-rhamnonate dehydratase","57945","Pseudomonas aeruginosa PAO1","15597411","PA2215","NP_250905.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131215","b3336","NP_417795.1","bacterioferritin, iron storage and detoxification protein","57945","Pseudomonas aeruginosa PAO1","15598727","PA3531","NP_252221.1","bacterioferritin","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176208","b2300","NP_416803.3","phosphodiesterase activity on bis-pNPP","57945","Pseudomonas aeruginosa PAO1","15595548","PA0351","NP_249042.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130439","b2514","NP_417009.1","histidyl tRNA synthetase","57945","Pseudomonas aeruginosa PAO1","15598997","PA3802","NP_252491.1","histidyl-tRNA synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128778","b0810","NP_415331.1","glutamine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15600268","PA5075","NP_253762.1","ABC transporter permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111557","b3209","NP_417676.2","isoprenoid biosynthesis protein with amidotransferase-like domain","57945","Pseudomonas aeruginosa PAO1","15600438","PA5245","NP_253932.1","isoprenoid biosynthesis protein with amidotransferase-like domain","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131622","b3754","NP_418210.1","predicted multidrug or homocysteine efflux system","57945","Pseudomonas aeruginosa PAO1","15595655","PA0458","NP_249149.1","major facilitator superfamily (MFS) transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111594","b3454","NP_417911.4","leucine/isoleucine/valine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15596267","PA1070","NP_249761.1","branched-chain amino acid ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128437","b0452","NP_414986.1","acyl-CoA thioesterase II","57945","Pseudomonas aeruginosa PAO1","15599137","PA3942","NP_252631.1","acyl-CoA thioesterase II","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111490","b2778","NP_417258.4","predicted protein","57945","Pseudomonas aeruginosa PAO1","15596647","PA1450","NP_250141.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111490","b2778","NP_417258.4","predicted protein","57945","Pseudomonas aeruginosa PAO1","15596648","PA1451","NP_250142.1","hypothetical protein","2","","PA1450[hypothetical protein];PA0536[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111490","b2778","NP_417258.4","predicted protein","57945","Pseudomonas aeruginosa PAO1","15595733","PA0536","NP_249227.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130105","b2167","NP_416672.1","fused fructose-specific PTS enzymes: IIBcomponent/IIC components","57945","Pseudomonas aeruginosa PAO1","15598756","PA3560","NP_252250.1","phosphotransferase system transporter fructose-specific IIBC component, FruA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698302","b2586","NP_417081.2","required for high salt suppression of motility; probable lipoprotein","57945","Pseudomonas aeruginosa PAO1","15595685","PA0488","NP_249179.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128765","b0797","NP_415318.1","ATP-dependent RNA helicase","57945","Pseudomonas aeruginosa PAO1","15595625","PA0428","NP_249119.1","ATP-dependent RNA helicase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132218","b4401","NP_418818.1","DNA-binding response regulator in two-component regulatory system with ArcB or CpxA","57945","Pseudomonas aeruginosa PAO1","15600176","PA4983","NP_253670.1","two-component response regulator","1","b0995[DNA-binding response regulator in two-component regulatory system with TorS]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128961","b0995","NP_415515.1","DNA-binding response regulator in two-component regulatory system with TorS","57945","Pseudomonas aeruginosa PAO1","15600176","PA4983","NP_253670.1","two-component response regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131491","b3620","NP_418077.1","ADP-heptose:LPS heptosyltransferase II","57945","Pseudomonas aeruginosa PAO1","15600205","PA5012","NP_253699.1","heptosyltransferase II","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111158","b0644","NP_415177.4","conserved protein","57945","Pseudomonas aeruginosa PAO1","15599712","PA4516","NP_253206.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131796","b3958","NP_418393.1","N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding","57945","Pseudomonas aeruginosa PAO1","15595859","PA0662","NP_249353.1","N-acetyl-gamma-glutamyl-phosphate reductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129952","b2011","NP_416515.1","exonuclease I","57945","Pseudomonas aeruginosa PAO1","15599512","PA4316","NP_253006.1","exonuclease I","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129916","b1970","NP_416479.1","Hydroxyisourate hydrolase","57945","Pseudomonas aeruginosa PAO1","15596715","PA1518","NP_250209.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111133","b0427","NP_414961.4","predicted transporter","57945","Pseudomonas aeruginosa PAO1","15599429","PA4233","NP_252923.1","major facilitator superfamily (MFS) transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128513","b0529","NP_415062.1","bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase","57945","Pseudomonas aeruginosa PAO1","15596993","PA1796","NP_250487.1","bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130242","b2307","NP_416810.1","histidine/lysine/arginine/ornithine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15598121","PA2925","NP_251615.1","histidine transporter permease HisM","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131633","b3775","NP_418223.1","peptidyl-prolyl cis-trans isomerase C (rotamase C)","57945","Pseudomonas aeruginosa PAO1","15597192","PA1996","NP_250686.1","peptidyl-prolyl cis-trans isomerase C1","1","","PA4176[peptidyl-prolyl cis-trans isomerase C2]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131633","b3775","NP_418223.1","peptidyl-prolyl cis-trans isomerase C (rotamase C)","57945","Pseudomonas aeruginosa PAO1","15599371","PA4176","NP_252865.1","peptidyl-prolyl cis-trans isomerase C2","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131985","b4160","NP_418584.1","phosphatidylserine decarboxylase","57945","Pseudomonas aeruginosa PAO1","15600150","PA4957","NP_253644.1","phosphatidylserine decarboxylase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129345","b1384","NP_415902.1","DNA-binding transcriptional activator for tynA and feaB","57945","Pseudomonas aeruginosa PAO1","15599265","PA4070","NP_252759.1","FeaR family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128161","b0168","NP_414710.1","methionine aminopeptidase","57945","Pseudomonas aeruginosa PAO1","15598853","PA3657","NP_252347.1","methionine aminopeptidase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131937","b4111","NP_418535.1","proline/glycine betaine transporter","57945","Pseudomonas aeruginosa PAO1","15599539","PA4343","NP_253033.1","major facilitator superfamily (MFS) transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130726","b2822","NP_417299.1","exonuclease V (RecBCD complex), gamma chain","57945","Pseudomonas aeruginosa PAO1","15599481","PA4285","NP_252975.1","exodeoxyribonuclease V subunit gamma","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130243","b2308","NP_416811.1","histidine/lysine/arginine/ornithine transporter permease subunit","57945","Pseudomonas aeruginosa PAO1","15598120","PA2924","NP_251614.1","histidine transporter permease HisQ","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129744","b1790","NP_416304.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15596426","PA1229","NP_249920.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130143","b2206","NP_416710.1","nitrate reductase, periplasmic, large subunit","57945","Pseudomonas aeruginosa PAO1","15596371","PA1174","NP_249865.1","nitrate reductase catalytic subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176129","b1641","YP_025304.1","outer membrane lipoprotein","57945","Pseudomonas aeruginosa PAO1","15596250","PA1053","NP_249744.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131999","b4177","NP_418598.1","adenylosuccinate synthetase","57945","Pseudomonas aeruginosa PAO1","15600131","PA4938","NP_253625.1","adenylosuccinate synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111164","b0716","NP_415244.4","predicted fimbrial-like adhesin protein","57945","Pseudomonas aeruginosa PAO1","15595695","PA0498","NP_249189.1","hypothetical protein","1","","PA0497[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111164","b0716","NP_415244.4","predicted fimbrial-like adhesin protein","57945","Pseudomonas aeruginosa PAO1","15595694","PA0497","NP_249188.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128184","b0191","NP_414733.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15596065","PA0868","NP_249559.1","peptidyl-tRNA hydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111151","b0604","NP_415137.2","thiol:disulfide interchange protein, periplasmic","57945","Pseudomonas aeruginosa PAO1","15597672","PA2476","NP_251166.1","disulfide isomerase/thiol-disulfide oxidase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131486","b3615","NP_418072.1","predicted glycosyl transferase","57945","Pseudomonas aeruginosa PAO1","15596587","PA1390","NP_250081.1","glycosyl transferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128378","b0393","NP_414927.1","nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function","57945","Pseudomonas aeruginosa PAO1","15598459","PA3263","NP_251953.1","recombination associated protein","","","","SSD"
